unit_id,var_id,year,val,diff,rate,mean,gmean,c_diff,c_rate,cires_rate,cires_period
040410663011,72305,2012,204299,-622,-0.0030353160486236,-0.0022554675738292,-0.0022558338853811,-2320,-0.011228396226871681,1,0
040410663011,72305,2013,203447,-852,-0.0041703581515328,-0.0025029522978009,-0.0025036097071118,-2566,-0.012455524651356954,1,0
040410663011,72305,2014,203158,-289,-0.0014205173829056,-0.0025006660805277,-0.0025013259538598,-2560,-0.012444219757143275,1,0
040410663011,72305,2015,202689,-469,-0.0023085480266591,-0.0023897471360973,-0.0023903914392545,-2440,-0.01189495390705361,1,0
040410663011,72305,2016,202521,-168,-0.0008288560306677,-0.0023527191280778,-0.0023534171889880,-2400,-0.011711830412695624,1,0
040410663011,72305,2017,202562,41,0.0002024481411804,-0.0017051662901169,-0.0017062615826010,-1737,-0.008502244259639058,1,0
040410663011,72305,2018,202074,-488,-0.0024091389303028,-0.0013529224458709,-0.0013533956831426,-1373,-0.006748686390067192,2,0
040410663011,72305,2019,201447,-627,-0.0031028237180439,-0.0016893837128986,-0.0016901065453115,-1711,-0.008422016361649553,1,0
040410663011,72305,2020,198613,-2834,-0.0140682164539556,-0.0040413173983579,-0.0040546729096884,-4076,-0.0201096260773895,1,0
040410663011,72305,2021,196935,-1678,-0.0084485909784354,-0.0055652643879115,-0.0055783548368453,-5586,-0.027582324795947088,0,0
040410702011,72305,2000,27175,160,0.0059226355728299,-0.0020163743073587,-0.0021280211657574,-291,-0.01059491735236292,1,0
040410702011,72305,2001,27235,60,0.0022079116835327,-0.0028054043641569,-0.0029117873898006,-400,-0.014474398407816174,1,0
040410702011,72305,2002,27307,72,0.0026436570589315,-0.0028701232870911,-0.0029761352582578,-410,-0.01479236569614316,1,0
040410702011,72305,2003,27335,28,0.0010253781081774,-0.0039494579551695,-0.0040476917131432,-560,-0.020075282308657464,1,0
040410702011,72305,2004,27560,225,0.0082312054143040,0.0040061575675551,0.0040026249617813,545,0.020173977419951878,3,4
040410702011,72305,2005,27588,28,0.0010159651669086,0.0030248234863708,0.0030212473081992,413,0.015197792088316467,3,4
