unit_id,var_id,year,val,diff,rate,mean,gmean,c_diff,c_rate
061813516143,72305,1998,13791,68,0.0049551847263718,,,,
061813516143,72305,1999,14523,732,0.0530780944093974,,,,
061813516143,72305,2000,14715,192,0.0132204090064036,0.0177660963053179,0.0176111645731778,1230,0.0912124582869855
061813516143,72305,2001,14978,263,0.0178729187903500,0.0200206948946820,0.0198802841311865,1404,0.1034330337409754
061813516143,72305,2002,15203,225,0.0150220323140606,0.0208297278493167,0.0206951389022314,1480,0.1078481381622094
061813516143,72305,2003,15517,314,0.0206538183253305,0.0239694545691084,0.0238643000176637,1726,0.1251540859981147
061813516143,72305,2004,15777,260,0.0167558162015854,0.0167049989275460,0.0167018589674479,1254,0.0863457963230738
061813516143,72305,2005,16100,323,0.0204728402104329,0.0181554851683519,0.0181531797348704,1385,0.0941216445803602
061813516143,72305,2006,16474,374,0.0232298136645963,0.0192268641432011,0.0192226047843762,1496,0.0998798237414875
061813516143,72305,2007,16832,358,0.0217312128202015,0.0205687002444293,0.0205664455746390,1629,0.1071499046240874
061813516143,72305,2008,17027,195,0.0115850760456274,0.0187549517884887,0.0187463721302279,1510,0.0973126248630534
061813516143,72305,2009,15251,-1776,-0.1043049274681388,-0.0054571969454562,-0.0067586784172401,-526,-0.0333396716739558
061813516143,72305,2010,11042,-4209,-0.2759819028260442,-0.0647481455527516,-0.0726485115824622,-5058,-0.3141614906832298
061813516143,72305,2011,11158,116,0.0105053432349212,-0.0672930396386866,-0.0749665039867622,-5316,-0.3226902998664563
061813516143,72305,2012,11285,127,0.0113819680946406,-0.0693628885837988,-0.0768480993399944,-5547,-0.3295508555133080
061813516143,72305,2013,11464,179,0.0158617634027470,-0.0685075511123748,-0.0760688524750552,-5563,-0.3267163916133200
061813516143,72305,2014,11500,36,0.0031402651779484,-0.0470185125831574,-0.0548953414770573,-3751,-0.2459510851747427
061813516143,72305,2015,11556,56,0.0048695652173913,0.0091517810255297,0.0091412480679549,514,0.0465495381271509
061813516143,72305,2016,11748,192,0.0166147455867082,0.0103736614958871,0.0103585388123304,590,0.0528768596522674
061813516143,72305,2017,11916,168,0.0143003064351379,0.0109573291639866,0.0109409440365282,631,0.0559149313247674
061813516143,72305,2018,12003,87,0.0073011077542800,0.0092451980342931,0.0092313339450567,539,0.0470167480809491
061813516143,72305,2019,10499,-1504,-0.1253020078313755,-0.0164432565675716,-0.0180485425360714,-1001,-0.0870434782608696
061813516143,72305,2020,10662,163,0.0155252881226784,-0.0143121119865142,-0.0159747806530544,-894,-0.0773624091381101
061813516143,72305,2021,10819,157,0.0147251922716188,-0.0146900226495321,-0.0163408489299939,-929,-0.0790772897514471
061813519043,72305,1995,20583,,,,,,
061813519043,72305,1996,20642,59,0.0028664431812661,,,,
061813519043,72305,1997,20700,58,0.0028098052514291,,,,
061813519043,72305,1998,20766,66,0.0031884057971014,,,,
061813519043,72305,1999,20587,-179,-0.0086198593855340,,,,
061813519043,72305,2000,20549,-38,-0.0018458250352164,-0.0003202060381908,-0.0003305882274918,-34,-0.0016518486129330
061813519043,72305,2001,20598,49,0.0023845442600613,-0.0004165858224317,-0.0004266792345403,-44,-0.0021315763976359
061813519043,72305,2002,20643,45,0.0021846781240897,-0.0005416112478996,-0.0005513322370709,-57,-0.0027536231884058
061813519043,72305,2003,20594,-49,-0.0023736859952526,-0.0016540296063704,-0.0016620697590124,-172,-0.0082827699123567
061813519043,72305,2004,20655,61,0.0029620277750801,0.0006623478257524,0.0006597399770585,68,0.0033030553261767
061813519043,72305,2005,20681,26,0.0012587751149843,0.0012832678557926,0.0012814456332684,132,0.0064236702515938
061813519043,72305,2006,20605,-76,-0.0036748706542237,0.0000713848729356,0.0000679585265102,7,0.0003398388193028
061813519043,72305,2007,20658,53,0.0025721912157243,0.0001488874912625,0.0001452854921129,15,0.0007266385699753
061813519043,72305,2008,20679,21,0.0010165553296544,0.0008269357562439,0.0008241236708646,85,0.0041274157521608
061813519043,72305,2009,20675,-4,-0.0001934329513033,0.0001958436109672,0.0001935827469277,20,0.0009682885499879
061813519043,72305,2010,20933,258,0.0124788391777509,0.0024398564235205,0.0024252274662893,252,0.0121850974324259
061813519043,72305,2011,20920,-13,-0.0006210289972770,0.0030506247549099,0.0030389832566489,315,0.0152875515651541
061813519043,72305,2012,20911,-9,-0.0004302103250478,0.0024501444467554,0.0024375024345042,253,0.0122470713525027
061813519043,72305,2013,20925,14,0.0006695040887571,0.0023807341985760,0.0023679840167434,246,0.0118961265051502
061813519043,72305,2014,20850,-75,-0.0035842293906810,0.0017025749107004,0.0016871631278965,175,0.0084643288996372
061813519043,72305,2015,20778,-72,-0.0034532374100719,-0.0014838404068641,-0.0014853211098960,-155,-0.0074045765059953
061813519043,72305,2016,20789,11,0.0005294061026085,-0.0012537533868870,-0.0012555388570817,-131,-0.0062619502868069
061813519043,72305,2017,20754,-35,-0.0016835826639088,-0.0015044278546592,-0.0015061320672716,-157,-0.0075080101382048
061813519043,72305,2018,20739,-15,-0.0007227522405319,-0.0017828791205170,-0.0017841326885567,-186,-0.0088888888888889
061813519043,72305,2019,20677,-62,-0.0029895366218236,-0.0016639405667456,-0.0016650076993859,-173,-0.0082973621103118
061813519043,72305,2020,20521,-156,-0.0075446147893795,-0.0024822160426071,-0.0024861010372427,-257,-0.0123688516700356
061813519043,72305,2021,20282,-239,-0.0116466059158910,-0.0049174184463070,-0.0049258694117905,-507,-0.0243878974457646
061813563011,72305,1995,160271,,,,,,
061813563011,72305,1996,160837,566,0.0035315184905566,,,,
061813563011,72305,1997,161267,430,0.0026735141789514,,,,
061813563011,72305,1998,162049,782,0.0048491011800306,,,,
061813563011,72305,1999,160601,-1448,-0.0089355688711439,,,,
061813563011,72305,2000,160779,178,0.0011083368098580,0.0006453803576505,0.0006331240873994,508,0.0031696314367540
061813563011,72305,2001,160431,-348,-0.0021644617767246,-0.0004938156958057,-0.0005053694951608,-406,-0.0025242947829169
061813563011,72305,2002,159791,-640,-0.0039892539471798,-0.0018263693210319,-0.0018372432246088,-1476,-0.0091525234548916
061813563011,72305,2003,159088,-703,-0.0043994968427508,-0.0036760889255882,-0.0036814568391461,-2961,-0.0182722509858129
061813563011,72305,2004,159020,-68,-0.0004274363874082,-0.0019744624288411,-0.0019766533765261,-1581,-0.0098442724516037
061813563011,72305,2005,158539,-481,-0.0030247767576405,-0.0028010851423408,-0.0028020930617830,-2240,-0.0139321677582271
061813563011,72305,2006,163508,4969,0.0313424457073654,0.0039002963544772,0.0038068226547834,3077,0.0191795849929253
061813563011,72305,2007,166454,2946,0.0180174670352521,0.0083016405509636,0.0082039259979911,6663,0.0416982182976513
061813563011,72305,2008,170653,4199,0.0252261886166749,0.0142267776428487,0.0141339016504134,11565,0.0726956150055315
061813563011,72305,2009,172770,2117,0.0124052902673847,0.0167933229738073,0.0167245654399115,13750,0.0864671110552132
061813563011,72305,2010,179199,6429,0.0372113214099670,0.0248405426073288,0.0248018328223163,20660,0.1303149382801708
061813563011,72305,2011,180031,832,0.0046428830518027,0.0195006300762163,0.0194399704098482,16523,0.1010531594784353
061813563011,72305,2012,182028,1997,0.0110925340635779,0.0181156434818815,0.0180492593171642,15574,0.0935633868816610
