unit_id,var_id,year,val,population,rate,group,group_start,diff,mean,gmean,score,adj_score
030210125063,10514,2011,433,8811,0.0491431165588469,B,B,-0.0012865532738080,-0.0082158007779948,-0.0082805000717319,4,4
030210125063,10514,2012,488,8739,0.0558416294770569,B,B,0.0066985129182100,-0.0014741611512208,-0.0015023784717174,4,4
030210125063,10514,2013,483,8687,0.0556003223207091,B,B,-0.0002413071563478,0.0006424421673915,0.0006250864463870,4,0
030210125063,10514,2014,372,8608,0.0432156133828996,B,B,-0.0123847089378095,-0.0032320947651457,-0.0032549423017068,4,4
030210125063,10514,2015,271,8539,0.0317367373228715,B,B,-0.0114788760600281,-0.0037385865019567,-0.0037648642182309,4,4
030210125063,10514,2016,250,8452,0.0295787979176526,B,B,-0.0021579394052189,-0.0039128637282389,-0.0039387696791647,2,2
030210125063,10514,2017,194,8402,0.0230897405379672,B,B,-0.0064890573796855,-0.0065503777878179,-0.0065621972652893,3,3
030210125063,10514,2018,184,8373,0.0219753971097576,B,B,-0.0011143434282096,-0.0067249850421903,-0.0067357612162781,2,2
030210125063,10514,2019,183,8287,0.0220827802582358,B,B,0.0001073831484782,-0.0042265666249328,-0.0042356697884595,1,1
030210125063,10514,2020,220,8205,0.0268129189518586,B,B,0.0047301386936228,-0.0009847636742026,-0.0009913232334062,0,0
030210125063,10514,2021,186,8148,0.0228276877761414,B,B,-0.0039852311757172,-0.0013502220283022,-0.0013574771642786,0,0
030210125072,10514,2008,295,8071,0.0365506133069013,B,B,-0.0035940070646235,-0.0160635246969902,-0.0161833206055598,4,4
030210125072,10514,2009,476,8097,0.0587872051377053,B,A,0.0222365918308041,-0.0122415420663956,-0.0124631516340151,3,3
030210125072,10514,2010,436,8212,0.0530930345835363,B,B,-0.0056941705541690,-0.0109400975367340,-0.0111654669373032,4,4
030210125072,10514,2011,419,8256,0.0507509689922481,B,B,-0.0023420655912882,-0.0042612750144277,-0.0044094115009948,4,4
030210125072,10514,2012,476,8344,0.0570469798657718,B,B,0.0062960108735238,0.0033804718988494,0.0033282262771615,1,0
030210125072,10514,2013,455,8362,0.0544128198995456,B,B,-0.0026341599662262,0.0035724413185289,0.0035214549058755,2,0
030210125072,10514,2014,348,8419,0.0413350754246348,B,B,-0.0130777444749108,-0.0034904259426141,-0.0035099515590929,4,4
030210125072,10514,2015,271,8395,0.0322811197141155,B,B,-0.0090539557105192,-0.0041623829738841,-0.0041842967658531,4,4
030210125072,10514,2016,209,8406,0.0248631929574114,B,B,-0.0074179267567042,-0.0051775552069673,-0.0051996629173051,4,4
030210125072,10514,2017,120,8489,0.0141359406290494,C,B,-0.0107272523283620,-0.0085822078473445,-0.0085884306859945,4,4
030210125072,10514,2018,139,8509,0.0163356446115877,C,B,0.0021997039825384,-0.0076154350575916,-0.0076292871742737,3,3
030210125072,10514,2019,107,8516,0.0125645843118835,C,B,-0.0037710602997042,-0.0057540982225502,-0.0057646945869129,3,3
030210125072,10514,2020,138,8551,0.0161384633376213,C,B,0.0035738790257378,-0.0032285312752988,-0.0032435628700063,2,2
030210125072,10514,2021,116,8676,0.0133702166897188,C,B,-0.0027682466479026,-0.0022985952535385,-0.0023114608598436,2,2
030210126011,10514,2008,362,3933,0.0920416984490211,A,A,-0.0002892803602624,-0.0125888971853528,-0.0126718403658541,1,1
030210126011,10514,2009,428,3939,0.1086570195481087,A,A,0.0166153210990876,-0.0090109976847978,-0.0091598464255108,2,2
030210126011,10514,2010,430,3906,0.1100870455709165,A,A,0.0014300260228079,-0.0068927826113465,-0.0070506277771586,1,1
030210126011,10514,2011,432,3911,0.1104576834569164,A,A,0.0003706378859998,-0.0033675828054721,-0.0035141041077308,1,1
030210126011,10514,2012,417,3895,0.1070603337612323,A,A,-0.0033973496956840,0.0029458709903898,0.0029214420311678,0,0
030210126011,10514,2013,452,3864,0.1169772256728778,A,A,0.0099168919116455,0.0049871054447713,0.0049609206210801,1,0
030210126011,10514,2014,349,3814,0.0915049816465653,A,A,-0.0254722440263126,-0.0034304075803087,-0.0035014149007888,3,3
030210126011,10514,2015,310,3760,0.0824468085106383,A,A,-0.0090581731359270,-0.0055280474120557,-0.0055975248176678,3,3
030210126011,10514,2016,294,3742,0.0785676109032603,A,A,-0.0038791976073780,-0.0063780145107312,-0.0064438604602730,3,3
030210126011,10514,2017,218,3696,0.0589826839826840,A,A,-0.0195849269205763,-0.0096155299557097,-0.0096926560514655,3,3
030210126011,10514,2018,183,3676,0.0497823721436344,A,A,-0.0092003118390496,-0.0134389707058487,-0.0134705720164408,4,4
030210126011,10514,2019,174,3650,0.0476712328767123,A,A,-0.0021111392669221,-0.0087667497539706,-0.0087855215727030,3,3
030210126011,10514,2020,184,3572,0.0515117581187010,A,A,0.0038405252419887,-0.0061870100783875,-0.0062184035903861,4,4
030210126011,10514,2021,176,3582,0.0491345616973758,A,A,-0.0023771964213252,-0.0058866098411769,-0.0059188893823421,4,4
030210126021,10514,2008,1061,16479,0.0643849748164330,B,A,-0.0068010547736713,-0.0126712835922623,-0.0126787156166852,1,1
030210126021,10514,2009,1235,16394,0.0753324386970843,B,B,0.0109474638806513,-0.0076021091962811,-0.0076521395404437,3,3
030210126021,10514,2010,1219,16529,0.0737491681287434,B,B,-0.0015832705683409,-0.0060006648937993,-0.0060527250376742,3,3
030210126021,10514,2011,1255,16500,0.0760606060606061,B,B,0.0023114379318626,-0.0021881580666111,-0.0022282800761307,2,2
030210126021,10514,2012,1325,16406,0.0807631354382543,B,B,0.0047025293776482,0.0019154211696300,0.0018976861847659,2,0
030210126021,10514,2013,1357,16167,0.0839364136821921,B,B,0.0031732782439378,0.0039102877731518,0.0039019891405188,1,0
030210126021,10514,2014,1025,16085,0.0637239664283494,B,B,-0.0202124472538427,-0.0023216944537470,-0.0023643020799599,4,4
030210126021,10514,2015,797,15951,0.0499655194031722,B,B,-0.0137584470251772,-0.0047567297451142,-0.0048093884087531,4,4
030210126021,10514,2016,699,15873,0.0440370440370440,B,B,-0.0059284753661282,-0.0064047124047124,-0.0064510704939349,4,4
