teryt_id,year,group,base_area,base_perimeter,box_area,box_perimeter,rect_area,rect_perimeter,circ_radius,circ_area,conv_area,conv_perimeter,schwartzberg_radius,schwartzberg_circumference,schwartzberg,polsby_popper,reock,box,rectangle,convex_hull
2002013,2012,artificial_surfaces,10114079.809546128,93158.78822624544,209866340.879717,58876.76,181375579.894833,55388.165379,8742.285642,240104255.540868,127424518.167391,45523.178252,1794.2718838098097,11273.742737439234,0.1210164167234531,0.01464497311658446,0.04212370075142052,0.048192958275967285,0.0557631838608625,0.07937310617301911
0413043,2012,artificial_surfaces,4748265.885901526,36593.08455167882,140031419.094619,50240.5,114945937.762207,48565.343923,8962.037561,252326807.108517,69064730.717338,39998.570073,1229.3982160844755,7724.53680797477,0.2110928035341143,0.04456017170389218,0.018817920855549293,0.03390857506552247,0.0413086880523298,0.06875095054427718
1211052,2012,artificial_surfaces,15390322.042755226,122478.5654318508,213959694.384468,60283.83228,198792400.008127,57856.488566,9948.125284,310908334.819941,139675662.944695,48785.805057,2213.343998966564,13906.850494040824,0.11354517784402723,0.01289250741163177,0.04950115619019463,0.07193094048405249,0.0774190665343647,0.11018613921917858
1428011,2012,artificial_surfaces,14175019.555208199,66985.94627672041,66519805.103918,33715.767973,49109052.912851,31520.936414,5768.125461,104524781.615066,34917368.544415,26299.665826,2124.1583889322683,13346.48077946149,0.19924299828992317,0.039697772367558316,0.1356139600215633,0.21309472469235022,0.2886437166760925,0.405958986776954
1206092,2012,artificial_surfaces,11503143.168286778,84955.77128372395,60417960.546175,31103.680157,57621067.006124,30405.524277,4400.033935,60822171.948746,42013026.408867,24582.038309,1913.5214116004067,12023.009618341217,0.14152081061318805,0.020028139836613838,0.1891274645367863,0.19039277500099314,0.19963433108700013,0.27379944154318286
1202033,2012,artificial_surfaces,3156512.8988938965,26311.93553886285,21341868.796529,20000.857146,20604974.412241,19810.922626,3474.654748,37929156.913503,12734249.506708,16729.756063,1002.3718180319034,6298.087879388945,0.23936239392524508,0.05729435562562421,0.08322127765961915,0.14790236642290977,0.15319178930980257,0.2478758482964501
3210052,2012,artificial_surfaces,3834045.552858863,46156.75306140069,102127897.713366,40600.400191,86015316.037412,37171.595625,5962.720232,111696287.495437,64468121.919645,31486.857461,1104.7237679863567,6941.184147503946,0.15038285163322332,0.02261500206534006,0.0343256310377862,0.03754160849976139,0.0445739866978023,0.05947195976389281
1009062,2012,artificial_surfaces,1897493.3616490941,20424.902580920978,59694979.135792,31123.58,33601533.444313,27131.014173,5159.373325,83626473.014655,22519455.232594,22992.737002,777.1685119592929,4883.093775545251,0.2390754989503146,0.05715709419834188,0.022690103901865752,0.031786481696102854,0.05647043950520186,0.0842601804551079
2606022,2012,artificial_surfaces,3020613.649257511,26114.16400927213,74592534.576059,34699.319799,73780123.21205,34496.782992,5380.153982,90936719.609995,56354288.68522,29315.625121,980.556569964407,6161.018633258774,0.2359263207151197,0.05566122880617353,0.033216655078522436,0.04049485201736258,0.04094075094691865,0.053600421897432714
3023032,2012,artificial_surfaces,2039483.4573498294,20584.668226938655,37461123.123609,24837.2,34376129.48112,23778.047936,3908.999437,48004404.718181,29477905.272601,21318.539176,805.7218795482397,5062.49987525062,0.24593546125875615,0.06048425110455715,0.04248534002917035,0.05444266715176226,0.059328478456830085,0.06918685159238502
2404152,2012,artificial_surfaces,9221240.881096989,63695.077047242994,46683880.053217,27352.096574,39572530.522241,25165.169025,3871.631196,47090991.407838,30154203.11359,21325.477348,1713.246081371646,10764.642606057327,0.1690027409508137,0.02856192644888784,0.19581751425097776,0.1975251600892062,0.23302125892389833,0.30580283771256844
2215031,2012,artificial_surfaces,8782463.248296082,29639.74460210387,23830416.172403,22761.140616,22795987.952292,22459.053601,4307.712141,58296599.308582,15673823.34237,18593.280184,1671.9883004909007,10505.412323420594,0.35443666821187475,0.12562535177313458,0.1506513819409564,0.36854007016741414,0.3852635501771731,0.5603267981561995
2819012,2012,artificial_surfaces,964891.3332998604,9089.72997559587,31503104.208794,22725.42,24500824.606459,21692.705794,3834.937227,46202597.448173,14814250.821347,17912.986799,554.1971224053808,3482.123216778695,0.38308324077035383,0.14675276935911688,0.02088391966235689,0.030628452577397554,0.03938199423073671,0.06513264456880086
1433072,2012,artificial_surfaces,4842491.851026535,52471.872491443995,152378288.482575,50989.753743,151560127.910349,51039.659641,8283.169847,215547507.913405,109519569.808796,42048.076327,1241.536560052176,7800.8042724461175,0.14866639786331445,0.022101697853653308,0.02246600713644984,0.03177940833467421,0.0319509617588273,0.04421576764299537
2606012,2012,artificial_surfaces,7122764.843397256,77339.21757463668,86397381.056514,39147.912938,75941577.60395,37490.333456,6429.471435,129867480.49417,61453372.429893,31713.863003,1505.737847905699,9460.829922425299,0.12232901003032604,0.01496438669499961,0.05484640817157464,0.08244190687606763,0.09379268996153664,0.1159051905820632
0610062,2012,artificial_surfaces,3952434.0613093534,41521.85358997178,39141987.173239,25046.439728,37197055.780032,25137.129438,4192.640107,55223641.587905,28295042.860543,21025.990094,1121.6500506861835,7047.535118268666,0.16973074438976307,0.02880852559110308,0.07157141303363468,0.10097683706798602,0.1062566372102785,0.13968644899354302
3004063,2012,artificial_surfaces,4479191.847850092,38378.72999189423,90835680.739386,38133.3,73724590.741691,34350.386909,5851.108108,107553888.77252,64331566.476799,31533.14593,1194.0565511249984,7502.47857797012,0.19548532688691572,0.0382145130280843,0.04164602413701404,0.04931092948707248,0.06075573703140443,0.0696266559817955
0608042,2012,artificial_surfaces,1914590.1222986802,17463.370233052803,49726639.130299,28207.68,44280640.33917,26775.680116,4274.998783,57414536.558276,28548605.8321,22287.302002,780.6618755373563,4905.043226251576,0.280876094407472,0.07889138040959515,0.03334678353373737,0.03850230290613183,0.04323763404579906,0.06706422490677
0601052,2012,artificial_surfaces,4334314.377498828,36612.47860403967,118885936.511611,45312.9,114233395.19199,44343.371657,7459.12177,174793495.23314,63169376.834394,36986.353577,1174.5872109751663,7380.149106000214,0.2015746922194423,0.040632356543362884,0.024796771594490452,0.03645775526254543,0.037942620633959305,0.06861417026262182
2409032,2012,artificial_surfaces,6664460.82783147,77240.68887741555,105597398.134797,42082.32,100117529.245047,41213.93163,6553.552027,134928401.625527,78669738.213954,34547.288996,1456.4902222752362,9151.397964650494,0.1184789791190777,0.014037268493098845,0.04939257226456781,0.06311197951415587,0.06656637332229384,0.08471441470551844
3027092,2012,artificial_surfaces,7154464.501707461,57200.142336124416,81122811.383774,37007.395737,75546390.764592,35993.169721,5702.527447,102160883.768434,52226258.048666,28954.121823,1509.0847495235225,9481.859125494982,0.16576635543626558,0.027478484594622335,0.07003134896448567,0.0881930048979846,0.09470292927694306,0.1369897972594689
0601042,2012,artificial_surfaces,4844206.412339069,47309.394639664904,345480717.476398,74418.5,238560619.832469,64614.052549,11267.643702,398855958.028467,138126495.996898,54943.750674,1241.7563334899637,7802.185149681334,0.1649183044743478,0.027198047150693683,0.012145252728037048,0.0140216404774313,0.02030597680262966,0.035070797802963585
2808022,2012,artificial_surfaces,4788655.334901214,44026.168227082075,265089028.175996,65126.52,232096278.468332,61512.149462,10071.814647,318687714.974184,170901446.955386,51101.471162,1234.615865209016,7757.3202642921015,0.1761979426481248,0.031045714993431884,0.015026168596706432,0.018064328681766353,0.02063219352978378,0.02801998122433274
1415112,2012,artificial_surfaces,4753602.380780324,43178.396157250245,143884004.54464,48043.665891,115335258.556472,43355.882219,6444.837729,130488983.074482,87776822.158787,36050.502923,1230.0888719068967,7728.876326490526,0.17899868949145165,0.03204053083965712,0.036429147264233096,0.03303774033690812,0.041215517616001195,0.054155553412279234
2009022,2012,artificial_surfaces,1325364.8005992025,12371.969297438382,56650867.295403,30478.5,39009469.377187,28465.444256,5269.203839,87224777.794352,25048645.845946,23776.028222,649.5203759934977,4081.0568831561054,0.32986315961850055,0.10880970407350037,0.015194820028363809,0.023395313503112965,0.03397546343899476,0.05291163477460824
3007072,2012,artificial_surfaces,2579978.659449381,28159.197018141498,48502178.604011,28128.36,37651256.328243,24905.213492,4115.372113,53206916.781883,29323489.350545,21805.43333,906.2189103334476,5693.941342495413,0.20220538742021316,0.04088701870175851,0.04848953511111671,0.053193046863177884,0.06852304308140933,0.08798334429464581
1428032,2012,artificial_surfaces,2120528.6738009006,21351.122742488315,35232047.404391,23785.98,26757018.96574,22480.207798,3908.724881,47997661.585749,16921574.456747,18789.002238,821.5748540498481,5162.107051714219,0.24177215943036698,0.058453777075622784,0.04417983301150045,0.06018749490943911,0.0792513051067479,0.1253150928255024
0404062,2012,artificial_surfaces,2103950.870106409,24584.40635995968,127709177.101505,45693.345225,68464284.476464,37946.070982,7380.73191,171138899.200788,46338725.916763,34383.782392,818.3571115349695,5141.889379222446,0.20915247266645323,0.04374475682249146,0.012293820282424263,0.016474547231904564,0.030730634026120363,0.04540372719538467
1014023,2012,artificial_surfaces,7723046.712014452,76295.16556394179,172670126.27842,53107.743551,164177220.012531,51712.84402,8457.104938,224694949.931968,134728761.260173,44327.601896,1567.9037342558436,9851.429706148323,0.1291225942473641,0.016672644345169428,0.03437125184323367,0.044727173590882255,0.047040915368313466,0.0573229252594446
2002023,2012,artificial_surfaces,6008132.631002007,43334.999403039,128418670.875,45609.5,74986771.393484,36868.236778,6425.932966,129724574.298827,64033750.462496,33290.220736,1382.9128728706548,8689.097843930409,0.20050993339395454,0.04020423338964808,0.0463145295598502,0.04678550704554633,0.0801225672122228,0.09382759228699117
2011052,2012,artificial_surfaces,3088491.115450193,25617.145503059466,102543155.92635,42822.231289,101362160.811915,42649.65902,7120.245107,159272119.971438,59280651.734512,35215.924079,991.512609823294,6229.857461925007,0.2431909309013751,0.05914182887267741,0.01939128527958344,0.030118939558174445,0.030469862626361303,0.05209947976418984
1428022,2012,artificial_surfaces,2783592.265003564,26562.8148999025,50411773.268816,32198.00001,43482062.536953,31040.74061,5946.341551,111083505.01492,33625633.472889,27593.963957,941.2996000505708,5914.359816691767,0.22265561232794934,0.04957552170113407,0.025058556305274038,0.05521710672942057,0.06401702455208841,0.08278185352992272
1419053,2012,artificial_surfaces,2658385.5719482712,18148.094930422212,89928324.675813,39231.280143,61735473.587686,35894.765936,6683.536489,140333875.705392,37184884.840852,29741.702463,919.886084708039,5779.814731716507,0.3184805211718187,0.10142984236587325,0.01894329190714519,0.029561159751742457,0.043060908379886846,0.07149102608024538
1009072,2012,artificial_surfaces,4340650.506542509,49888.05437804372,97692887.850007,42442.851856,78828533.074123,39141.692111,7337.11365,169122100.957351,63731191.361984,34941.341746,1175.4454341657718,7385.5414813417065,0.14804228333651281,0.021916517655488334,0.02566577923270436,0.04443159171634825,0.05506445873426272,0.06810873002339214
1202042,2012,artificial_surfaces,6856140.353765193,64188.306475549056,79325392.889587,36996.6,75587306.523652,35637.852836,5894.092543,109139955.78719,54893853.651314,29137.194958,1477.2871270227374,9282.068770994807,0.14460684945053942,0.02091114090801097,0.06281970983325168,0.08643058803765717,0.09070491685822725,0.12489814246446292
2819022,2012,artificial_surfaces,1885816.8175999857,19588.24501450818,62082150.278397,34069.2,56782806.427041,33204.847625,5981.599934,112404732.999674,47121584.231391,30014.914036,774.7736034311764,4868.046121469351,0.24851874774201554,0.06176156797925954,0.016777023238029088,0.030376151746409494,0.03321105342024669,0.04002023379221853
0807053,2012,artificial_surfaces,8700285.12351299,97328.63305093934,418660584.937842,82949.916216,353732601.58633,75889.565483,12062.243963,457094597.893687,232557279.713017,62339.528103,1664.1474596417072,10456.146867401008,0.10743135436751203,0.011541495901237946,0.019033883059664906,0.020781237681604805,0.02459565526190169,0.03741136434967513
1433092,2012,artificial_surfaces,4251175.328171127,44788.56572682526,97959020.951353,39594.833767,71946312.944836,35247.48824,5977.794353,112261751.452983,57350671.537543,30233.184976,1163.267439094506,7309.024881639024,0.16318952757313732,0.02663082190954375,0.03786842155185496,0.043397486896916665,0.05908816107686666,0.07412599040602715
1809011,2012,artificial_surfaces,5556021.021174058,31429.144349991315,17739606.707348,16921.80718,17245267.089692,16717.444645,2362.127305,17528973.009585,13284386.991612,13488.499442,1329.8633083458851,8355.7775995561,0.2658608044338442,0.07068196733421078,0.31696215278191003,0.3131986583937441,0.3221765712457451,0.41823691410693087
2606032,2012,artificial_surfaces,4350569.041631211,33008.25213453582,46004668.103386,27895.992219,43509445.049918,26877.101685,4623.923465,67169350.192182,30313721.562024,23437.054588,1176.7876343998325,7393.9747741316505,0.2240038261945865,0.05017771414981451,0.06477015229689662,0.09456799105373838,0.09999137053207277,0.14351814351562348
2417092,2012,artificial_surfaces,7012139.223662521,59893.32796648213,97085274.686435,39427.613173,77914926.327475,36302.592629,5882.125695,108697229.300886,50978589.176855,29704.306994,1493.9990756988143,9387.073041370671,0.15672986224148244,0.024564249718234066,0.06451074483464653,0.07222659920683394,0.08999737988829803,0.13755067248597244
2404162,2012,artificial_surfaces,2152097.26689437,25628.110725063358,34752966.047745,23729.547168,22720679.730575,19314.027159,3362.5367,35520898.176194,17916097.374081,17151.692648,827.6677087343651,5200.389586746756,0.20291739966851965,0.04117547108823374,0.060586791927933266,0.06192557101278014,0.09471975717338744,0.12012087353397524
2215042,2012,artificial_surfaces,4027276.2408993877,34096.29204372094,167668673.050907,51796.12,121371299.11961,44089.203177,6816.517479,145973821.594765,100953973.681105,38666.185692,1132.2198734660014,7113.9472734583105,0.20864284199396957,0.04353183551532057,0.027589030669344455,0.02401925277762913,0.03318145451282147,0.03989220130770495
1433082,2012,artificial_surfaces,6733552.696058714,72260.88262940965,118126078.193195,43633.094273,115954680.699079,43335.855075,6392.697997,128386171.627923,85253982.773865,35107.406735,1464.0206256385209,9198.71288441982,0.12729865107786562,0.016204946566244178,0.05244764767636562,0.05700310040807416,0.05807055528472682,0.07898226542587891
3023042,2012,artificial_surfaces,1560680.4113503397,16644.600816166167,37343735.864694,25238.56,34989507.678729,24373.028812,4127.960967,53532932.782815,21211786.052541,20627.116935,704.8262226295204,4428.553766140691,0.26606548363956145,0.07079084158435375,0.029153650476839654,0.04179229461682912,0.04460424038201362,0.07357609620823904
3205012,2012,artificial_surfaces,4270920.511048589,41487.45633575847,108664916.121998,41705.68,103197174.59488,40637.676945,6215.840935,121380705.437048,72835930.882696,33694.932745,1165.9657892802402,7325.979115879654,0.17658299068977426,0.031181552600944906,0.035186156610892555,0.03930358264164701,0.04138602173765797,0.058637549617193856
0601062,2012,artificial_surfaces,3677330.900984317,27883.94694042996,150570010.295281,53644.991959,133227140.705411,51362.414769,9416.118713,278543945.568393,86913134.651849,42898.410459,1081.9107082160035,6797.845465543054,0.2437906470007877,0.059433879565062665,0.013201977495796598,0.024422731284754175,0.02760196519653268,0.0423104162071099
3214082,2012,artificial_surfaces,2530349.760000527,23117.933565134044,104520200.872981,40986.66,75150020.300715,36445.188085,6070.346627,115764887.541105,50677360.420596,30799.153547,897.4604972426083,5638.9106100488425,0.2439193189201531,0.05949663414247134,0.021857661798376192,0.02420919342736008,0.033670646393377655,0.0499305752904241
0608053,2012,artificial_surfaces,5430584.928606758,59963.38855304252,137817813.922313,47574.276124,103772270.247734,40760.368994,7040.968154,155745186.384904,74427011.304922,35187.864769,1314.7657093703904,8260.916587499583,0.13776600667242359,0.01897947259446626,0.03486839660768566,0.03940408553910123,0.052331754096180065,0.07296524250259157
2409042,2012,artificial_surfaces,10750534.203801371,59179.50229175533,82696234.495107,36625.84215,72979869.902498,35254.914151,5610.293957,98882880.031586,50377626.380221,28364.622272,1849.8652163946872,11623.045947913684,0.19640323926030998,0.038574232391942576,0.1087198734540028,0.13000028682608836,0.14730821277379935,0.21339898237091592
0207022,2012,artificial_surfaces,7898995.9336906895,70963.57243298025,188982836.986402,55537.32,139079177.271213,49716.570189,8628.943976,233918823.688643,115351552.410586,44717.563293,1585.6634247592738,9963.017132579533,0.1403962172562388,0.019711097819861,0.03376810728239907,0.041797424886044286,0.05679495729462908,0.06847758672180458
1424012,2012,artificial_surfaces,277612.53261625767,4366.981721063713,19057980.7148,17513.419846,8263434.551265,14191.398305,2823.260924,25041013.775599,5078968.95681,12609.182939,297.2655608379061,1867.774604187231,0.42770378341136656,0.18293052634439716,0.011086313641453878,0.014566733840834985,0.033595296349719334,0.05465923004786794
1014032,2012,artificial_surfaces,2673948.4643520527,32227.970053757774,66360425.419305,32650.28,50915609.169923,28559.641957,4616.27516,66947327.99187,39378216.829752,24720.073765,922.5747836079327,5796.708325139749,0.17986575994301118,0.03235169159987693,0.03994107822610596,0.04029432372466634,0.052517263525771865,0.06790425467746841
3007093,2012,artificial_surfaces,3768382.343648821,33111.61382853173,53838418.471497,30773.68,47214657.363569,29566.831827,5082.54308,81154388.467545,33151625.995353,24313.635198,1095.2229704055073,6881.4888757374665,0.20782704556090836,0.043192080866575874,0.04643473279520627,0.06999429869292814,0.07981382380117659,0.11367111658948648
3018073,2012,artificial_surfaces,10901881.713198252,62098.13571084673,203707839.655978,57225.48,192815190.216593,58488.371634,9608.952062,290069406.37452,106503822.173841,47120.254475,1862.8410365131226,11704.575430230443,0.18848513399390177,0.03552664573669911,0.03758370056827849,0.053517241808706824,0.056540574946154186,0.10236141286463543
2808032,2012,artificial_surfaces,6862850.702327656,58573.720377308186,234685830.403208,61342.46,228026360.281818,60530.303553,9047.261676,257148607.050258,162097046.873513,49731.436569,1478.009886960931,9286.610005619083,0.1585456745072449,0.025136730904957254,0.026688267072690605,0.029242714357900344,0.03009674273555852,0.042337913211231114
0404072,2012,artificial_surfaces,3274226.0609503537,23059.640146179336,21266622.026202,19012.46,20898824.513112,18876.938306,2956.980332,27469246.363754,14481093.706505,15396.866449,1020.8910445297815,6414.447611220744,0.2781677238048109,0.07737728256674958,0.11919606448580017,0.15396079626168524,0.15667034568839466,0.22610350622063513
3007083,2012,artificial_surfaces,10311874.168070864,93519.37755514836,129772610.985443,45583.924645,108436405.477925,41709.525804,6020.945854,113888353.923407,85825782.359852,34487.611311,1811.7316282441525,11383.445547136207,0.12172285407292614,0.014816453203658871,0.09054371068534257,0.07946109806812456,0.09509605305175953,0.12014890962292704
