teryt_id,year,group,base_area,base_perimeter,box_area,box_perimeter,rect_area,rect_perimeter,circ_radius,circ_area,conv_area,conv_perimeter,schwartzberg_radius,schwartzberg_circumference,schwartzberg,polsby_popper,reock,box,rectangle,convex_hull
2002013,2006,artificial_surfaces,7600722.023405915,67532.84135901286,209866340.879717,58876.76,181375579.894864,55388.165379,8742.285642,240104255.540868,126813927.579846,45515.32352,1555.43722540801,9773.10032092379,0.14471626136635937,0.02094279630385644,0.03165592382477453,0.036216965481673885,0.04190598330718911,0.05993601939834459
0413043,2006,artificial_surfaces,3307172.0273506567,24143.234827784163,41064627.341401,32761.82,40673065.44317,32661.590528,6654.126039,139101533.666111,27137808.03615,28706.328671,1026.0144012713486,6446.638611022798,0.26701635704607285,0.07129773493015587,0.023775237700031024,0.0805357856983739,0.08131110825594315,0.12186584940630452
1211052,2006,artificial_surfaces,15979689.151663303,130321.66195829897,213959694.384468,60283.83228,198446443.938694,57794.910621,9948.125284,310908334.819941,139594640.601144,48770.243717,2255.3254831882473,14170.627938876096,0.10873578287706682,0.011823470477888618,0.051396786004202034,0.07468551120169911,0.080523938018259,0.11447208204304334
1428011,2006,artificial_surfaces,13894957.255855553,64524.64883065002,67038898.365027,33814.112034,48371485.540244,31463.764518,5888.443151,108930838.290068,34402237.181514,26492.422171,2103.069723675375,13213.976787771348,0.20478959633631577,0.04193877876759117,0.12755760879077394,0.2072670881343764,0.28725512769905026,0.4038969088708565
1206092,2006,artificial_surfaces,8835886.35884292,59947.595595435145,69042734.905957,33356.068368,57814081.828645,30574.39407,4713.908249,69809113.536306,40935080.226585,25192.194315,1677.0658845782411,10537.31572515414,0.1757754522177455,0.03089700960235293,0.12657210371605127,0.12797706190054997,0.15283277152150543,0.2158512041489665
1202033,2006,artificial_surfaces,1655539.498000551,12058.185662283853,7111692.308401,10721.3,5444459.955367,9959.82188,1706.653084,9150406.179719,3489049.391699,8113.240711,725.9301544786009,4561.153680658553,0.3782620212031681,0.143082156684706,0.1809252469764562,0.232791215678,0.3040778170052597,0.47449586180675496
3210052,2006,artificial_surfaces,2109570.419625908,18739.466855687504,63816403.290395,32031.4,60623267.307657,31168.957704,4882.333833,74886721.0505,43250481.139945,26399.966009,819.449278581545,5148.751667162474,0.2747544370826007,0.07549000069657681,0.028170153400137725,0.03305686799718811,0.03479803239439488,0.04877565206269034
1009062,2006,artificial_surfaces,1897494.7629991155,20424.896767994636,59694979.135792,31123.58,33601533.444313,27131.014173,5159.373325,83626473.014655,22519455.232594,22992.737002,777.1687989391927,4883.095578693142,0.2390756552730707,0.05715716894424814,0.022690120659119413,0.03178650517127684,0.05647048121014439,0.0842602426835236
2606022,2006,artificial_surfaces,2153477.6767406836,20200.175319759946,74127102.904165,34601.203224,60917576.82696,31224.845336,5099.567898,81698979.121083,39569476.338505,26296.203502,827.9331097272659,5202.057150365861,0.2575253465883127,0.0663193041354306,0.026358685260302883,0.0290511512304049,0.035350678554693094,0.05442269840314105
3023032,2006,artificial_surfaces,1893597.2364514396,19566.87494107005,35887286.094009,24403.36,34376129.481125,23778.047936,3908.999437,48004404.718181,28512376.647044,21144.169231,776.37022148766,4878.077968583027,0.2493028643191328,0.06215191815772394,0.03944632263576984,0.052765127780658665,0.05508465510903904,0.06641316716218944
2404152,2006,artificial_surfaces,9362047.636443824,66405.40296172962,50487426.548026,28421.811637,39572530.058106,25165.168879,3871.631196,47090991.407838,32387762.74226,21831.583203,1726.2770106804007,10846.518349628992,0.16333788917567438,0.026679266040364885,0.19880761386742793,0.18543325094096855,0.23657945606958003,0.28906126400105103
2215031,2006,artificial_surfaces,8503876.953457717,28881.945563791756,20412126.330669,21005.617093,19958827.680143,20879.032639,3964.096384,49367175.911129,14167031.081885,17203.938391,1645.2562430138614,10337.449852650181,0.3579208273839372,0.1281073186752022,0.17225771570904588,0.4166090693197765,0.4260709641738231,0.6002582266041185
2819012,2006,artificial_surfaces,671683.6845491901,5937.655413197803,30723006.857592,22400.46,6220382.308663,16795.90503,3791.52305,45162427.133499,6037081.357796,16188.065129,462.38896740770303,2905.2755662180202,0.4892967617757639,0.23941132108424867,0.01487262149493671,0.02186256337677474,0.10798109364013685,0.11125967081457494
1433072,2006,artificial_surfaces,5426835.907488953,57167.447678858305,152378288.482575,50989.753743,151511684.181346,50561.288829,8283.169847,215547507.913405,109457940.133999,42044.833032,1314.3118047293485,8258.064620528128,0.14445396735076088,0.02086694868337469,0.02517698283790483,0.03561423324497789,0.03581793666152845,0.04957918905513288
2606012,2006,artificial_surfaces,5760229.590568993,68208.97405965696,81266005.559955,38105.882153,74197590.811793,37060.430345,6338.770965,126229247.309372,57513641.571354,30438.603415,1354.0819862056062,8507.948040443616,0.12473355827053478,0.01555846055882889,0.04563308197862731,0.07088117043379612,0.07763364723229611,0.10015414488096001
0610062,2006,artificial_surfaces,2042710.9918487146,19078.92305948086,23883207.385203,19740.94,20450044.336481,18737.956257,2968.346678,27680830.491417,12730633.359947,15135.001484,806.3591652122165,5066.504059170995,0.2655550338651481,0.07051947601111995,0.07379514832411183,0.08552917365337998,0.09988785149989654,0.16045635233479216
3004063,2006,artificial_surfaces,4105390.5640485585,35450.0574153936,77125474.50459,35188.94,72754183.798357,34121.111814,5331.897521,89312749.654283,54001765.119861,29123.838292,1143.147585914568,7182.608115756228,0.20261203054179816,0.04105163492027056,0.04596645585249523,0.05323002017711064,0.05642824027037288,0.07602326618280594
0608042,2006,artificial_surfaces,1926841.6221819222,17572.10370853963,50306071.339706,28370.76,44451978.867822,26822.913983,4293.018907,57899588.223998,28765966.974106,22360.992635,783.1556278613583,4920.71193421349,0.28002975715549294,0.07841666489256435,0.033279021168984624,0.03830236730613246,0.04334658818927696,0.06698337740276174
0601052,2006,artificial_surfaces,4270838.730196521,36438.56658981772,118885936.511611,45312.9,114233395.19199,44343.371657,7459.12177,174793495.23314,63169376.834394,36986.353577,1165.954626097508,7325.908975533931,0.20104822063942165,0.040420387022277564,0.02443362508713534,0.03592383468989546,0.037386954340441335,0.06760932186165189
2409032,2006,artificial_surfaces,6020570.299638913,70363.00111910842,105597398.134797,42082.32,100117529.24504,41213.93163,6440.399516,130309323.466691,75116276.203601,34085.034825,1384.3435436478812,8698.08701353729,0.12361733972678941,0.015281246681128468,0.046202145322148495,0.05701438109254875,0.060135026753441206,0.08015001014321171
3027092,2006,artificial_surfaces,6377861.344684981,51561.65652213609,79224180.054387,36673.335735,74720539.422859,35893.610811,5702.527515,102160886.201982,51421530.718265,28847.462334,1424.828522567777,8952.461638248255,0.17362633868065985,0.030146105483651202,0.06242958123988205,0.08050397416933329,0.08535620050320225,0.12403095076318986
0601042,2006,artificial_surfaces,4062716.756039493,40127.3205356434,345480717.476398,74418.5,238560619.832469,64614.052549,11267.643702,398855958.028467,129296324.710949,54862.539255,1137.190796749565,7145.180505596713,0.17806273656497829,0.03170633815300885,0.010185924703548066,0.011759604951952328,0.017030123240342712,0.03142174972971568
2808022,2006,artificial_surfaces,5268616.617598563,48687.96078881151,289772995.892976,68149.46,241561792.306021,62700.302625,10072.472025,318729317.272303,177195764.989734,51985.016251,1295.010716516982,8136.7923066596095,0.16712123849166102,0.02792950835498664,0.0165300658963147,0.018181875786467214,0.021810637217511825,0.02973331003652263
1415112,2006,artificial_surfaces,3582014.4198426045,35012.106540926994,142906575.146397,47884.224345,107446614.695753,41684.841707,6423.227911,129615379.820253,84976577.602304,35670.473165,1067.797079172254,6709.166918904383,0.19162420036228842,0.036719834164486445,0.027635720582002248,0.025065427648609598,0.03333762008217268,0.0421529616855914
2009022,2006,artificial_surfaces,1101789.5559988543,9656.86446324885,56650867.295403,30478.5,38749687.927263,28416.089447,5269.203839,87224777.794352,23577976.448648,23669.847638,592.2081628688384,3720.9536277293005,0.3853169568538672,0.14846915723912496,0.012631612070099166,0.019448767664114124,0.02843350785345736,0.04672960626619138
