teryt_id,year,group,base_area,base_perimeter,box_area,box_perimeter,rect_area,rect_perimeter,circ_radius,circ_area,conv_area,conv_perimeter,schwartzberg_radius,schwartzberg_circumference,schwartzberg,polsby_popper,reock,box,rectangle,convex_hull
3002043,2018,urban_fabric,2075482.6867003664,12386.347430662809,8373764.3988,11575.18,5938044.635584,9976.014355,1631.219004,8359386.728822,5059581.784301,8810.971383,812.80173337661,5106.983908802015,0.412307497217421,0.1699974722616936,0.2482816926682422,0.24785539547754568,0.3495229177401165,0.41020834827499525
2413092,2018,urban_fabric,2205180.9464508295,14859.755441302284,7368219.032404,10887.7,6965443.843392,10704.755007,1730.100519,9403565.322183,4876426.237001,8852.191402,837.8131629900711,5264.135355860871,0.35425450820202264,0.1254962565814569,0.23450477248760213,0.2992827624630689,0.31658871940269073,0.4522125095871469
1418063,2018,urban_fabric,1905293.4977941066,15089.511350409697,6267701.706297,10549.28,5715418.272431,9791.194176,1742.519178,9539047.374956,3622778.189749,8340.619971,778.7642495836327,4893.120090740617,0.3242729321786662,0.10515293454374983,0.1997362443965108,0.30398598833762414,0.33336029087923735,0.5259205499208641
2817083,2018,urban_fabric,1747896.654097423,9597.442668724574,4432834.554199,8424.06,3665033.181113,7701.588951,1107.342405,3852243.538051,2900609.064347,6342.708684,745.9040052357805,4686.653086263861,0.48832311356611424,0.23845946324290412,0.453734722852375,0.39430676528221176,0.4769115496975174,0.6025964255513759
1814062,2018,urban_fabric,2532072.1277738605,12348.434531408011,14510005.420979,15284.020595,4711964.445018,12176.184341,2589.186212,21060876.615536,3858086.228121,11083.50013,897.7658886373698,5640.8294407733465,0.4568052271262404,0.20867101552985606,0.12022634071679732,0.17450525029528346,0.5373708051746956,0.6563026272761802
3010022,2018,urban_fabric,1530446.137700662,12221.432343866705,5419927.868798,9498.52,5063865.299558,9518.483824,1616.40594,8208253.268065,3073684.736647,7537.685731,697.9657125546496,4385.447910038505,0.35883256451845685,0.1287608093588925,0.18645210956818428,0.2823738940348805,0.30222884045400006,0.4979190349138359
0618072,2018,urban_fabric,759334.1115499437,8205.732638198033,4000617.9528,8779.48,2728859.612851,8040.585578,1578.653739,7829312.681358,1890489.85755,7111.050179,491.63355725879046,3089.024743484866,0.37644715952666125,0.14171246391569153,0.09698605004727395,0.18980420537744472,0.2782605993998433,0.40165997639046347
1435012,2018,urban_fabric,1721444.1199518405,18754.184831852854,19729119.114601,17813.5,12854662.955588,16334.917747,3021.777403,28686318.175343,7518182.080402,13748.796231,740.2382602200632,4651.05416042688,0.24800087031921242,0.06150443167908683,0.060009238879302686,0.08725397773476085,0.1339159280876764,0.2289707939422231
0404042,2018,urban_fabric,504490.5439503789,4791.7969703421295,1108480.004999,4221.78,1032194.634777,4079.758069,598.057561,1123662.385699,792677.35145,3332.766261,400.7297438744019,2517.8592388614807,0.525451986894534,0.27609979053141365,0.4489698599606936,0.45511920979651227,0.4887552472692045,0.6364387011027157
1809042,2018,urban_fabric,1167343.3073002845,11728.930032428292,5485891.888104,10962.6,3941327.12067,10362.630581,2127.953031,14225709.907214,3054897.251198,9237.420093,609.5710912470861,3830.0481242051183,0.32654710307042106,0.10663301052368418,0.08205870321510725,0.2127900678888031,0.2961802640481777,0.38212195413200967
2407072,2018,urban_fabric,987643.2944511771,6688.372417379866,2422792.831797,6298.18,2174826.984711,5991.130562,922.935674,2676040.852496,1585590.663,4924.653077,560.6929860868051,3522.9379320192625,0.5267257431516282,0.277440008498635,0.36906884045883726,0.4076466140601201,0.45412499541080464,0.6228866740313147
2010011,2018,urban_fabric,5227473.525106784,27443.944031229235,14384098.89,15351.5,12544163.515067,14372.609719,2379.965392,17794719.902978,9674107.563752,12477.520291,1289.9443797332967,8104.959573819135,0.29532779853348606,0.08721850858663532,0.2937654289367011,0.3634202993933104,0.4167255567761039,0.5403571844387643
1218062,2018,urban_fabric,4318469.184602439,26734.273458068103,28283598.904006,23642.56,19766294.136483,22294.631011,4472.667978,62846803.419428,12327697.113798,18993.400429,1172.4382434222323,7366.646744646013,0.2755506618199434,0.07592816722940883,0.06871422172074164,0.1526845716932715,0.218476420252786,0.35030623682089934
2811043,2018,urban_fabric,4935130.084452495,32268.25364535343,17616199.175801,16788.98,14945025.631732,15466.075198,2449.639001,18851853.166568,12571201.895102,13712.412892,1253.3557737068413,7875.066582023528,0.2440499776831748,0.05956039160715811,0.2617848781680778,0.28014726872705764,0.33021891069721476,0.39257424434296323
1210022,2018,urban_fabric,4924831.765438944,30925.701809091253,20769444.738152,18578.716751,15896758.983314,16267.334914,2777.953838,24243756.978196,12036034.074152,13842.90361,1252.0473787885135,7866.845694296701,0.25437888985866375,0.06470861960572617,0.20313814273374248,0.23711908659707095,0.30980099595196,0.40917396337513473
1607053,2018,urban_fabric,3799651.963249281,15938.431404229701,8199102.268499,11505.88,7088185.433741,10856.414394,1741.863366,9531868.522933,5721171.65335,9247.434487,1099.7576023651282,6909.980808639623,0.4335420866325572,0.18795874088171172,0.3986261407307064,0.46342292592782586,0.5360542551782399,0.6641387802137375
