teryt_id,name,year,group,base_area,base_perimeter,box_area,box_perimeter,rect_area,rect_perimeter,circ_radius,circ_area,conv_area,conv_perimeter,schwartzberg_radius,schwartzberg_circumference,schwartzberg,polsby_popper,reock,box,rectangle,convex_hull
1814011,Przeworsk,2006,artificial_surfaces,7854494.790338,33987.787386,27032544.308071,21063.728913,22189529.960396,18847.690020,3145.540331,31084249.671322,17118183.624132,15964.986392,1581.190483,9934.912809,0.292308,0.085444,0.252684,0.290557,0.353973,0.458839
2817072,Świętajno,2006,artificial_surfaces,1088117.506200,6760.197675,2386360.621699,6306.360000,2331751.433647,6288.250819,972.884125,2973528.509585,1709448.560250,5021.429840,588.522353,3697.794999,0.546995,0.299204,0.365935,0.455974,0.466652,0.636531
1607082,Pakosławice,2006,artificial_surfaces,621650.103001,5373.237213,1417382.036000,4996.140000,1362454.489915,4955.918087,840.853900,2221216.845401,943338.476700,3969.281853,444.834097,2794.975060,0.520166,0.270573,0.279869,0.438590,0.456272,0.658989
3010013,Golina,2006,artificial_surfaces,1168524.535850,5674.591135,2245551.350403,5997.500000,2048701.109401,5812.627696,878.603292,2425132.796445,1468162.666349,4713.051427,609.879424,3831.985437,0.675288,0.456014,0.481839,0.520373,0.570373,0.795909
2466011,Gliwice,2006,artificial_surfaces,53769533.094787,153070.341136,168833126.944048,52299.922403,168568410.567157,52065.702358,7791.689025,190727402.750398,118025119.578419,41980.317790,4137.073115,25993.997011,0.169817,0.028838,0.281918,0.318477,0.318978,0.455577
2803011,Działdowo,2006,artificial_surfaces,5182787.570628,18972.478679,12311002.554003,14043.260000,11618006.963816,13756.237839,1995.327965,12507728.660260,8446948.087758,11087.198073,1284.419138,8070.243455,0.425366,0.180936,0.414367,0.420988,0.446100,0.613569
2214043,Pelplin,2006,artificial_surfaces,2557697.935848,15808.688066,6588746.888598,10601.100000,6125709.132948,10194.464660,1688.635568,8958220.289164,4468108.539548,8513.208747,902.297367,5669.301560,0.358619,0.128608,0.285514,0.388192,0.417535,0.572434
0618063,Łaszczów,2006,artificial_surfaces,2042887.802900,16151.724490,9083096.267702,12090.440000,7583645.087709,11230.340759,1747.664631,9595465.913311,5297995.653101,9269.452200,806.394062,5066.723325,0.313696,0.098405,0.212901,0.224911,0.269381,0.385596
1008021,Pabianice,2006,artificial_surfaces,16833230.826680,42475.432121,47683867.886120,27758.032302,37573479.816008,24700.220314,3944.240328,48873856.702955,28559764.680591,20887.946674,2314.775105,14544.160932,0.342413,0.117247,0.344422,0.353017,0.448008,0.589404
1210011,Grybów,2006,artificial_surfaces,2442008.387439,14016.614107,7888916.060962,11294.773577,6907176.330276,10687.019952,1616.999047,8214278.070421,4783754.777143,8730.146850,881.654928,5539.601289,0.395217,0.156196,0.297288,0.309549,0.353547,0.510479
1402062,Ojrzeń,2006,artificial_surfaces,523974.055899,4682.663022,1661478.161000,5224.980000,1253236.213119,4744.578518,809.461981,2058461.667224,807418.649548,3985.277367,408.394567,2566.018741,0.547983,0.300285,0.254546,0.315366,0.418097,0.648950
1012113,Przedbórz,2006,artificial_surfaces,2205351.614126,17358.317985,8167583.657344,11440.040048,6453017.758688,10519.803149,1770.263131,9845222.189213,4860333.780871,8754.461717,837.845583,5264.339058,0.303275,0.091976,0.224002,0.270013,0.341755,0.453745
0208063,Bystrzyca Kłodzka,2006,artificial_surfaces,3762549.173652,19916.652893,14873145.711502,15676.080000,14198578.921052,15167.528645,2409.420050,18237903.469522,8803550.412400,12327.685911,1094.374981,6876.160802,0.345247,0.119195,0.206304,0.252976,0.264995,0.427390
2010042,Grodzisk,2006,artificial_surfaces,602886.611401,5191.029851,1731453.555200,5265.360000,1641798.039042,5161.846684,778.741987,1905184.565973,1107915.579850,4226.707022,438.069365,2752.470998,0.530236,0.281150,0.316445,0.348197,0.367211,0.544163
