from,to,mode,name,description
060611018122,060611018123,1,Tyszowce,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
060611108052,060611108053,1,Kamionka,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
060611205062,060611205063,1,Modliborzyce,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
060611207022,060611207023,1,Annopol,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
060611207082,060611207083,1,Urzędów,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
060611212022,060611212023,1,Józefów nad Wisłą,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
061813305052,061813305053,1,Kołaczyce,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
061813404072,061813404073,1,Pruchnik,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
061813409052,061813409053,1,Narol,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
061813413022,061813413023,1,Dubiecko,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
061813516032,061813516033,1,Boguchwała,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
061813603022,061813603023,1,Brzostek,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
061813611072,061813611073,1,Przecław,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
061813618052,061813618053,1,Zaklików,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
062013702072,062013702073,1,Michałowo,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
062013711042,062013711043,1,Krynki,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
062013711092,062013711093,1,Suchowola,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
062013813032,062013813033,1,Czyżew,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
062013813092,062013813093,1,Szepietowo,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071412912042,071412912043,1,Cegłów,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071412912072,071412912073,1,Halinów,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071412912122,071412912123,1,Mrozy,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071422520042,071422520043,1,Czerwińsk nad Wisłą,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071422520082,071422520083,1,Nowe Miasto,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071422520112,071422520113,1,Sochocin,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071422537032,071422537033,1,Lubowidz,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071422709062,071422709063,1,Solec nad Wisłą,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071422725062,071422725063,1,Jedlnia-Letnisko,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071427004042,071427004043,1,Sanniki,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071427129052,071427129053,1,Kosów Lacki,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071427338052,071427338053,1,Wiskitki,"zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011216911021,011216911023,1,Szczawnica,"zmiana rodzaju gminy z miejskiego na miejsko-wiejski"
030210302031,030210302033,1,Pieszyce,"zmiana rodzaju gminy z miejskiego na miejsko-wiejski"
042214011021,042214011023,1,Jastarnia,"zmiana rodzaju gminy z miejskiego na miejsko-wiejski"
042214011041,042214011043,1,Władysławowo,"zmiana rodzaju gminy z miejskiego na miejsko-wiejski"
042214213011,042214213013,1,Czarna Woda,"zmiana rodzaju gminy z miejskiego na miejsko-wiejski"
060611211084,060611211021,1,Stoczek Łukowski,"zmiana rodzaju gminy - utworzenie gminy miejskiej"
060611211085,060611211082,1,Stoczek Łukowski,"zmiana rodzaju gminy - utworzenie gminy wiejskiej"
023216605052,023216418032,1,Radowo Małe,"zmiana przynależności gminy z powiatu gryfickiego do łobeskiego"
042214209102,042214216042,1,Stary Targ,"zmiana przynależności gminy z powiatu malborskiego do sztumskiego"
042214209092,042214216032,1,Stary Dzierzgoń,"zmiana przynależności gminy z powiatu malborskiego do sztumskiego"
042214209052,042214216022,1,Mikołajki Pomorskie,"zmiana przynależności gminy z powiatu malborskiego do sztumskiego"
042815506032,042815519012,1,Budry,"zmiana przynależności gminy z powiatu giżyckiego do węgorzewskiego"
042815506072,042815519022,1,Pozezdrze,"zmiana przynależności gminy z powiatu giżyckiego do węgorzewskiego"
042815506022,042815518012,1,Banie Mazurskie,"zmiana przynależności gminy z powiatu giżyckiego do gołdapskiego"
042815513012,042815518022,1,Dubeninki,"zmiana przynależności gminy z powiatu olecko-gołdapskiego do gołdapskiego"
051011506011,051011521011,1,Brzeziny,"zmiana przynależności gminy z powiatu łódzkiego wschodniego do brzezińskiego"
051011506042,051011521022,1,Brzeziny,"zmiana przynależności gminy z powiatu łódzkiego wschodniego do brzezińskiego"
051011506052,051011521032,1,Dmosin,"zmiana przynależności gminy z powiatu łódzkiego wschodniego do brzezińskiego"
051011506062,051011521042,1,Jeżów,"zmiana przynależności gminy z powiatu łódzkiego wschodniego do brzezińskiego"
051011506092,051011521052,1,Rogów,"zmiana przynależności gminy z powiatu łódzkiego wschodniego do brzezińskiego"
061813301012,061813321012,1,Baligród,"zmiana przynależności gminy z powiatu bieszczadzkiego do leskiego"
061813301022,061813321022,1,Cisna,"zmiana przynależności gminy z powiatu bieszczadzkiego do leskiego"
061813301062,061813321042,1,Olszanica,"zmiana przynależności gminy z powiatu bieszczadzkiego do leskiego"
061813301072,061813321052,1,Solina,"zmiana przynależności gminy z powiatu bieszczadzkiego do leskiego"
020811404093,020811412013,1,Sława,"zmiana przynależności gminy z powiatu nowosolskiego do wschowskiego"
020811404094,020811412014,1,Sława - miasto,"zmiana przynależności gminy z powiatu nowosolskiego do wschowskiego"
020811404095,020811412015,1,Sława - obszar wiejski,"zmiana przynależności gminy z powiatu nowosolskiego do wschowskiego"
020811404103,020811412023,1,Szlichtyngowa,"zmiana przynależności gminy z powiatu nowosolskiego do wschowskiego"
020811404104,020811412024,1,Szlichtyngowa - miasto,"zmiana przynależności gminy z powiatu nowosolskiego do wschowskiego"
020811404105,020811412025,1,Szlichtyngowa - obszar wiejski,"zmiana przynależności gminy z powiatu nowosolskiego do wschowskiego"
020811404113,020811412033,1,Wschowa,"zmiana przynależności gminy z powiatu nowosolskiego do wschowskiego"
020811404114,020811412034,1,Wschowa - miasto,"zmiana przynależności gminy z powiatu nowosolskiego do wschowskiego"
020811404115,020811412035,1,Wschowa - obszar wiejski,"zmiana przynależności gminy z powiatu nowosolskiego do wschowskiego"
