count
3855
694
1250
1689
1740
1583
1405
1158
1050
962
727
602
526
449
348
336
310
287
226
203
158
177
151
133
115
109
103
83
84
79
68
58
60
59
64
47
56
53
47
42
51
47
44
42
28
31
34
37
28
35
26
28
26
28
22
18
19
20
28
18
20
16
22
18
15
18
15
13
10
9
12
14
10
11
8
10
8
10
18
10
10
11
5
5
6
5
12
7
9
8
11
9
10
8
12
9
13
10
13
167
