teryt_id,year,group,base_area,base_perimeter,box_area,box_perimeter,rect_area,rect_perimeter,circ_radius,circ_area,conv_area,conv_perimeter,schwartzberg_radius,schwartzberg_circumference,schwartzberg,polsby_popper,reock,box,rectangle,convex_hull
2002013,2018,urban_fabric,8091534.214912362,70889.58990384491,209866340.879717,58876.76,180834062.917427,55286.257453,8716.557171,238693085.608878,125564771.413788,45140.323738,1604.8723734306732,10083.710516638035,0.14224529342482645,0.020233723501514984,0.03389932387137152,0.038555654903946475,0.044745630797485,0.0644411177100574
0413043,2018,urban_fabric,4267706.720650017,34976.894087118286,140031419.094619,50240.5,114945937.762207,48565.343923,8962.037561,252326807.108517,69064730.717338,39998.570073,1165.5270226450803,7323.222263804337,0.2093731434690601,0.04383711320611563,0.016913409912941296,0.030476779770162398,0.03712794730927145,0.06179285253592762
1211052,2018,urban_fabric,15112986.621918155,121424.36944312864,213959694.384468,60283.83228,198792400.008127,57856.488566,9948.125284,310908334.819941,139675662.944695,48785.805057,2193.310979209268,13780.979318643345,0.11349434534307318,0.01288096642485276,0.048609139509465604,0.0706347364413475,0.07602396581207485,0.1082005719772541
1428011,2018,urban_fabric,12675557.26577922,67355.80551383758,62529375.822765,32959.766984,46904084.923573,30489.662766,5598.479299,98466845.748697,32603970.082198,25417.966196,2008.670005398175,12620.845864890152,0.18737576915025278,0.03510967886464882,0.12872918970238217,0.20271363817395477,0.27024420765127755,0.3887734295493101
1206092,2018,urban_fabric,11553313.497788884,85414.85144394671,60417960.546175,31103.680157,57621067.006124,30405.524277,4400.033935,60822171.948746,42013026.408867,24582.038309,1917.6897310375398,12049.199941784242,0.14106680206183464,0.01989984264395284,0.18995233362472982,0.19122316267129133,0.20050502529849007,0.2749936028257777
1202033,2018,urban_fabric,2414687.56754202,21864.76296601366,17418031.168502,18865.717146,16184845.932,18535.968167,3466.969849,37761566.495085,9786912.477506,15532.827878,876.709144924196,5508.526018057687,0.25193623304401136,0.06347186552040641,0.06394564081064574,0.1386314873467809,0.14919434993000466,0.24672618387993955
3210052,2018,urban_fabric,2126754.1961268857,18928.69917796477,63816403.290395,32031.4,60623267.307657,31168.957704,4882.333833,74886721.0505,43738270.354947,26480.316358,822.779974300571,5169.679045566945,0.27311327614023573,0.07459086160405266,0.028399616998756094,0.033326136956499136,0.03508148423168651,0.04862456102785372
1009062,2018,urban_fabric,1897493.3616490941,20424.902580920978,59694979.135792,31123.58,33601533.444313,27131.014173,5159.373325,83626473.014655,22519455.232594,22992.737002,777.1685119592929,4883.093775545251,0.2390754989503146,0.05715709419834188,0.022690103901865752,0.031786481696102854,0.05647043950520186,0.0842601804551079
2606022,2018,urban_fabric,2826999.589762673,24176.102542060147,60804139.006804,31792.62,58936475.233744,31814.069841,5380.153982,90936719.609995,47744131.65524,28293.767254,948.6105194751844,5960.295678202474,0.24653666437065716,0.060780326879010055,0.031087547493322522,0.04649353869555378,0.0479668928036619,0.05921145681685897
3023032,2018,urban_fabric,2039483.4573498294,20584.668226938655,37461123.123609,24837.2,34376129.48112,23778.047936,3908.999437,48004404.718181,29477905.272601,21318.539176,805.7218795482397,5062.49987525062,0.24593546125875615,0.06048425110455715,0.04248534002917035,0.05444266715176226,0.059328478456830085,0.06918685159238502
